num;open;close;low;high
320;71.78;71.95;71.39;72.32;
321;72.27;71.19;71.06;74.09;
322;70.99;68.54;68.44;71.77;
323;69.1;65.45;65.18;69.62;
324;64.8;66.34;62.65;66.94;
325;66.56;67.75;65.75;68.67;
326;67.9;65.92;65.28;68.43;
327;65.46;64.28;63.14;66.27;
328;63.96;60.44;59.88;65.7;
329;59.57;51.64;47.28;62.02;
330;53.97;59.94;52.32;60.82;
331;61.48;63.12;60.21;65.76;
332;61.89;61.36;59.56;63.13;
333;63.11;58.56;57.78;64.16;
334;59.03;54.18;52.8;59.47;
335;53.57;54.87;51.47;55.41;
336;54.98;58.46;54.66;58.8;
337;59.06;57.18;56.09;60.04;
338;56.98;54.59;53.67;58.26;
339;56.53;56.3;55.65;56.65;
340;55.96;58.26;55.79;58.41;
341;58.93;66.03;58.64;67.8;
342;65.85;63.4;62.3;66.93;
343;63.4;62.95;61.11;64.6;
344;62.38;60.36;59.31;63.04;
345;59.74;60.16;59.67;61.27;
346;61.24;62.02;60.78;62.75;
347;61.84;61.95;60.45;62.47;
348;61.45;61.7;60.0;63.6;
349;61.86;60.78;60.3;62.28;
350;61.13;62.85;61.0;63.25;
351;62.99;64.31;62.38;64.84;
352;64.35;64.26;47.21;66.68;
353;63.68;60.31;60.1;63.81;
354;58.24;61.17;57.25;61.49;
355;61.78;60.6;60.27;62.54;
356;60.39;60.55;59.62;62.03;
357;61.29;61.42;59.7;61.51;
358;61.94;61.47;59.97;62.5;
359;62.03;62.03;60.86;62.88;
360;62.56;61.05;60.92;62.74;
361;61.75;62.33;59.83;62.41;
362;62.65;64.34;60.51;64.92;
363;64.23;65.53;63.78;67.33;
364;65.37;64.82;64.43;66.39;
365;66.09;65.26;65.05;66.43;
366;66.1;67.25;64.6;69.52;
367;68.5;70.68;65.5;70.78;
368;70.65;69.9;69.6;71.83;
369;70.11;72.26;69.68;73.92;
370;73.0;76.32;72.83;76.77;
371;75.95;73.5;72.75;76.51;
372;74.39;74.7;73.49;75.42;
373;72.89;73.7;72.5;73.92;
374;73.78;74.16;72.87;74.57;
375;75.06;76.0;74.65;76.65;
376;75.79;76.06;75.33;76.82;
377;76.28;76.1;76.04;77.39;
378;76.0;75.52;74.81;76.93;
379;75.32;72.48;72.33;75.68;
380;72.87;72.62;71.83;74.13;
381;73.0;73.31;72.55;74.07;
382;72.54;69.95;69.15;72.76;
383;69.84;70.62;68.81;71.33;
384;71.16;70.76;70.05;71.62;
385;71.07;67.94;67.88;71.37;
386;67.59;65.68;65.3;67.87;
387;66.11;64.77;63.91;66.5;
388;64.98;65.34;64.8;66.12;
389;66.51;65.2;64.5;66.93;
390;66.99;67.08;64.44;69.13;
391;65.05;65.02;64.76;69.1;
392;64.95;65.64;63.68;66.31;
393;65.7;64.8;64.28;66.1;
394;65.48;63.02;62.68;65.86;
395;63.1;61.12;60.64;63.62;
396;60.92;63.06;60.72;63.22;
397;62.97;62.62;61.89;63.36;
398;62.51;64.57;62.25;64.76;
399;64.67;65.95;64.1;66.24;
400;65.96;65.61;65.21;66.46;
401;65.58;68.9;65.5;68.92;
402;69.84;69.65;68.2;70.32;
403;69.39;69.04;68.55;69.88;
404;69.11;71.99;69.02;72.05;
405;72.09;71.4;69.99;72.38;
406;71.84;73.69;69.83;74.52;
407;74.14;73.96;72.92;74.85;
408;74.1;76.26;73.86;76.38;
409;75.88;76.65;55.0;77.55;
410;76.67;72.69;72.61;77.0;
411;72.46;73.48;71.18;74.03;
412;73.59;75.21;73.23;75.64;
413;75.14;73.95;72.59;75.28;
414;74.02;76.03;72.14;76.61;
415;75.69;75.64;74.83;77.64;
416;76.06;75.56;74.64;76.92;
417;74.82;75.65;73.93;75.78;
418;75.56;75.49;74.63;76.2;
419;75.24;76.76;75.01;77.0;
420;77.18;80.08;76.77;80.57;
421;80.4;79.2;78.67;81.01;
422;78.81;76.47;75.91;78.83;
423;76.3;75.25;75.07;76.67;
424;75.43;75.13;74.33;76.7;
425;75.84;75.2;74.7;76.07;
426;75.07;74.55;73.6;75.35;
427;74.52;74.75;73.74;75.18;
428;75.45;75.3;75.09;76.05;
429;75.33;73.17;73.03;75.34;
430;72.62;71.55;71.41;72.83;
431;71.73;73.27;71.15;73.59;
432;73.33;74.39;73.06;74.67;
433;74.39;74.3;72.91;74.74;
434;74.67;74.02;73.9;75.16;
435;74.45;73.6;72.41;74.5;
436;74.08;73.74;73.32;74.97;
437;73.67;73.89;73.35;76.15;
438;73.69;72.75;69.02;74.49;
439;72.97;73.92;72.25;74.25;
440;74.06;71.98;71.6;74.19;
441;71.73;71.15;70.55;72.2;
442;71.17;70.56;70.2;71.75;
443;71.03;69.2;69.15;71.86;
444;69.21;70.2;65.0;70.35;
445;70.9;71.49;70.16;72.07;
446;71.22;72.47;70.23;72.56;
447;72.6;71.6;70.6;72.6;
448;71.74;73.53;70.96;73.8;
449;73.47;72.8;72.78;74.42;
450;73.17;73.04;72.59;74.37;
451;73.01;71.75;71.5;73.38;
452;72.17;71.97;71.5;72.46;
453;72.15;72.19;71.5;72.34;
454;72.2;71.84;71.35;72.5;
455;71.95;71.59;71.45;72.24;
456;71.26;70.6;70.4;71.41;
457;69.39;70.2;69.31;70.97;
458;70.43;72.07;70.05;72.5;
459;72.26;70.99;70.71;72.97;
460;71.04;70.55;70.17;71.3;
461;70.41;70.69;69.9;71.15;
462;69.73;68.26;68.08;70.59;
463;68.43;68.7;68.12;69.68;
464;68.88;67.55;66.5;68.9;
465;68.04;69.28;67.7;69.38;
466;69.86;71.09;69.85;71.2;
467;71.09;72.92;71.0;72.95;
468;72.88;73.8;72.31;73.9;
469;73.6;74.0;72.96;74.0;
470;74.09;74.1;73.53;74.39;
471;74.05;75.54;73.57;75.73;
472;75.42;74.0;73.87;75.7;
473;74.01;75.5;73.41;75.86;
474;75.17;74.65;74.5;75.97;
475;74.57;72.7;72.51;74.65;
476;72.4;70.42;70.25;72.43;
477;70.35;68.36;67.35;70.35;
478;68.32;69.5;67.4;70.73;
479;70.17;71.15;69.72;71.49;
480;71.31;72.07;70.91;72.79;
481;71.75;72.1;70.21;72.55;
482;71.57;71.06;70.49;71.81;
483;70.77;72.16;70.44;72.36;
484;72.51;73.49;72.27;74.08;
485;73.32;72.43;72.14;73.93;
486;72.99;74.22;72.98;74.33;
487;74.26;75.11;73.55;75.23;
488;75.18;73.39;73.23;75.7;
489;73.04;73.19;72.57;74.25;
490;73.78;73.31;73.09;74.41;
491;73.69;74.44;73.32;74.91;
492;74.05;73.03;72.87;74.25;
493;72.67;72.36;71.97;73.35;
494;72.32;71.48;71.22;73.21;
495;71.02;71.59;70.82;72.51;
496;71.02;69.89;69.84;71.51;
497;68.44;68.7;66.7;69.17;
498;68.67;70.65;68.67;71.07;
499;70.56;70.84;69.47;71.24;
500;71.76;73.76;71.72;73.86;
501;74.35;74.8;72.86;75.02;
502;74.4;74.46;73.12;74.68;
503;74.24;73.08;72.65;74.86;
504;73.0;73.12;72.27;74.22;
505;73.28;74.04;73.2;74.47;
506;73.78;74.05;73.56;74.33;
507;73.85;73.85;73.41;73.95;
508;73.96;74.76;73.96;75.33;
509;75.7;74.54;74.38;75.71;
510;74.11;74.2;73.56;74.77;
511;74.24;74.06;73.65;74.38;
512;73.83;74.91;73.81;75.17;
513;74.99;74.93;74.34;75.03;
514;75.06;77.62;75.03;77.64;
515;77.61;76.31;76.29;78.02;
516;76.78;76.42;75.29;77.26;
517;75.55;75.85;75.42;76.93;
518;76.03;74.17;73.87;76.09;
519;73.5;73.88;73.5;75.05;
520;73.89;73.28;72.62;74.25;
521;73.77;74.72;73.63;74.92;
522;74.93;74.53;74.21;75.63;
523;74.24;75.52;73.54;75.56;
524;75.73;75.77;75.23;76.79;
525;75.98;74.57;74.0;76.56;
526;74.65;73.83;73.01;75.05;
527;74.46;76.16;74.26;76.27;
528;76.2;77.2;75.65;77.29;
529;78.34;79.55;76.74;79.75;
530;79.27;83.17;78.44;83.36;
531;83.73;85.6;83.2;86.15;
532;85.84;85.33;83.79;86.53;
533;84.97;85.03;84.3;85.69;
534;84.52;86.75;83.96;87.04;
535;87.05;87.85;87.04;89.17;
536;88.48;88.64;88.34;90.11;
537;87.25;87.24;85.89;88.81;
538;86.9;87.78;86.07;89.27;
539;88.7;86.73;85.64;88.7;
540;86.73;86.59;86.09;87.66;
541;87.12;90.24;86.91;90.37;
542;90.61;92.43;89.78;92.76;
543;92.0;89.03;88.8;92.0;
544;89.02;89.87;87.3;90.46;
545;87.24;88.73;87.13;91.81;
546;88.78;90.92;88.15;90.92;
547;90.31;93.73;89.72;93.86;
548;90.8;95.4;90.8;95.62;
549;95.94;95.43;94.54;96.54;
550;95.55;94.1;93.62;95.96;
551;94.43;92.84;92.64;94.73;
552;92.71;94.13;91.95;94.35;
553;94.27;93.62;92.73;94.93;
554;93.64;94.15;92.73;94.81;
555;93.47;93.24;93.01;94.44;
556;93.08;95.64;92.95;96.07;
557;96.57;102.72;96.57;102.72;
558;102.85;104.24;101.81;104.66;
559;104.48;104.65;102.48;108.48;
560;104.26;107.05;103.23;107.28;
561;106.79;109.74;105.16;110.26;
562;109.85;105.65;105.1;110.65;
